term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno URI	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	term syriaca-headword.de	term syriaca-headword.fr	term syriaca-headword.grc	gloss.grc	term syriaca-headword.la	gloss.la	term syriaca-headword.ru	term syriaca-headword.swe	gloss.swe	term syriaca-headword.syr	gloss.syr	term syriaca-headword.tru	gloss.tru	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Microcosm		CBSC	microcosm	microcosm	http://id.loc.gov/authorities/subjects/sh85084813																																																																			
Middle social group		new		middle-social-group	http://id.loc.gov/authorities/subjects/sh85085013			middle class	bourgeoisie									plebs media																																												http://syriaca.org/keyword/socioeconomic-status										
Midrash		CBSC	midrash	midrash	http://id.loc.gov/authorities/subjects/sh85085046																																				http://syriaca.org/keyword/genres																															
Milk		CBSC	milk	milk	http://id.loc.gov/authorities/subjects/sh85085317																																																	http://syriaca.org/keyword/objects																		
Millenarism		CBSC	millenarism	millenarism																											http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Miners		new		miners	http://id.loc.gov/authorities/subjects/sh85085603			mine workers																																															http://syriaca.org/keyword/occupations																	
Minters		new		minters	http://id.loc.gov/authorities/subjects/sh85085882			mint workers	coin makers	coiners								monetarii																																					http://syriaca.org/keyword/occupations																	
Miracles		CBSC	miracles	miracles	http://id.loc.gov/authorities/subjects/sh2007004520																																	http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion													
Mirrors		CBSC	mirror	mirrors	http://id.loc.gov/authorities/subjects/sh85085963																																																	http://syriaca.org/keyword/objects																		
Misogyny		CBSC	misogyny, mysoginy	misogyny	http://id.loc.gov/authorities/subjects/sh85086002																															http://syriaca.org/keyword/ethics						http://syriaca.org/keyword/ideology																														
Mission		CBSC	mission	mission	http://id.loc.gov/authorities/subjects/sh85086032																										http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion													
Missionaries		new		missionaries	http://id.loc.gov/authorities/subjects/sh85086017			proselytizers	proselytisers																						http://syriaca.org/keyword/christianity																								http://syriaca.org/keyword/occupations																	
Mithraism		CBSC	Mithraism	mithraism	http://id.loc.gov/authorities/subjects/sh85086278																																																						http://syriaca.org/keyword/religion								http://syriaca.org/keyword/traditional-religions					
Mlahso		CBSC	Mlahso	mlahso																																											http://syriaca.org/keyword/language																									
Modern Syriac		CBSC	Modern Syriac	modern-syriac	http://id.loc.gov/authorities/subjects/sh85131709			Assyrian language, modern	Assyro-Babylonian language, modern	Neo-Aramaic language																																					http://syriaca.org/keyword/language																									
Monasteries		CBSC	monasteries	monasteries	http://id.loc.gov/authorities/subjects/sh85086690																																																http://syriaca.org/keyword/monasticism				http://syriaca.org/keyword/places		http://syriaca.org/keyword/religion													
Monastic heads		SPEAR	monastic head	monastic-heads	http://id.loc.gov/authorities/subjects/sh85000067			abbots	monastic superiors																						http://syriaca.org/keyword/christianity																						http://syriaca.org/keyword/monasticism			http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion													
Monasticism	category	CBSC	monasticism	monasticism	http://id.loc.gov/authorities/subjects/sh85086717			monachism																																																			http://syriaca.org/keyword/religion													
Moneychangers		new		moneychangers				money changers										nummularius																http://syriaca.org/keyword/economics																					http://syriaca.org/keyword/occupations																	
Mongols		CBSC	Mongols	mongols	http://id.loc.gov/authorities/subjects/sh85086834			Mongolians																													http://syriaca.org/keyword/ethnicity																																			
Monks		SPEAR	monk	monks	http://id.loc.gov/authorities/subjects/sh85086875			monastic	male monastic	female monastic																					http://syriaca.org/keyword/christianity																						http://syriaca.org/keyword/monasticism		http://syriaca.org/keyword/occupations	http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion													
Monoenergism		new		monoenergism																											http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Monophysitism		CBSC	Monophysitism	monophysitism																											http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Monotheletism		CBSC	Monotheletism	monotheletism	http://id.loc.gov/authorities/subjects/sh85086977																										http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Montanism		CBSC	Montanism	montanism	http://id.loc.gov/authorities/subjects/sh85087022																										http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Months		CBSC	months	months	http://id.loc.gov/authorities/subjects/sh85087066																																																												http://syriaca.org/keyword/time							
Moon		CBSC	moon	moon	http://id.loc.gov/authorities/subjects/sh85087107																																																	http://syriaca.org/keyword/objects																		
Morphology		CBSC	morphology	morphology	http://id.loc.gov/authorities/subjects/sh85056306																																												http://syriaca.org/keyword/linguistics																							
Mosaicist		new		mosaicist	http://id.loc.gov/authorities/subjects/sh85087418			mosaic maker																																															http://syriaca.org/keyword/occupations																	
Mosaics		CBSC	mosaics	mosaics	http://id.loc.gov/authorities/subjects/sh85087419																									http://syriaca.org/keyword/art									http://syriaca.org/keyword/fields-of-study															http://syriaca.org/keyword/objects										http://syriaca.org/keyword/techne								
Mothers		CBSC	mother	mothers	http://id.loc.gov/authorities/subjects/sh85087526			moms	mom																		Used of female parents biologically or metaphorically speaking.																													http://syriaca.org/keyword/persons																
Mountains		CBSC	mountain	mountains	http://id.loc.gov/authorities/subjects/sh85087823			hills	mounts	peaks	ranges	summits																																													http://syriaca.org/keyword/places															
Mulitlingualism		CBSC		mulitlingualism	http://id.loc.gov/authorities/subjects/sh85088352			plurilingualism	polyglottism																																								http://syriaca.org/keyword/linguistics																							
Municipal office holder		new		municipal-office-holder																																																			http://syriaca.org/keyword/occupations																	
Music		CBSC	music	music	http://id.loc.gov/authorities/subjects/sh85088762																									http://syriaca.org/keyword/art																																		http://syriaca.org/keyword/techne								
Musicians		new		musicians	http://id.loc.gov/authorities/subjects/sh85089027																																																		http://syriaca.org/keyword/occupations																	
Muslim-Christian relations		CBSC	Muslim-Christian relations	muslim-christian-relations	http://id.loc.gov/authorities/subjects/sh85025266																										http://syriaca.org/keyword/christianity														http://syriaca.org/keyword/islam														http://syriaca.org/keyword/religion													
Myron		CBSC	myron	myron	http://id.loc.gov/authorities/subjects/sh85025005			chrism	muron																						http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects						http://syriaca.org/keyword/ritual												
Mystery		CBSC	mystery	mystery	http://id.loc.gov/authorities/subjects/sh85089329																										http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy																					
Mysticism		CBSC	mysticism	mysticism	http://id.loc.gov/authorities/subjects/sh85089345			mystical theology																																		http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Mythology		CBSC	mythology	mythology	http://id.loc.gov/authorities/subjects/sh85089371			myths																																	http://syriaca.org/keyword/genres																															
Nabateans		CBSC	Nabateans	nabateans	http://id.loc.gov/authorities/subjects/sh85089476			Nabataeans	Nabathites																												http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Nag Hammadi		CBSC	Nag Hammadi	nag-hammadi																																																																	x	CBSC uses this to tag things related to the texts, it is not used to refer to a place. Do we want a subject heading for this or a should it be a literary tradition?		
Names		CBSC	names	names	http://id.loc.gov/authorities/subjects/sh85089592			nomenclature																																									http://syriaca.org/keyword/linguistics																							
Nationalism		CBSC	nationalism	nationalism	http://id.loc.gov/authorities/subjects/sh85090150			national identity																								http://syriaca.org/keyword/culture										http://syriaca.org/keyword/ideology																														
Nations		CBSC	nations	nations	http://id.loc.gov/authorities/subjects/sh85090144			nation-state																																																	http://syriaca.org/keyword/places															
Nativity		CBSC	Nativity	nativity	http://id.loc.gov/authorities/subjects/sh85070067			birth of Jesus Christ	nativity of Jesus Christ																						http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																											http://syriaca.org/keyword/time							
Natural disasters		CBSC	natural disasters	natural-disasters	http://id.loc.gov/authorities/subjects/sh85090214			natural calamities																														http://syriaca.org/keyword/events																																		
Natural History		NHSL		natural-history	http://id.loc.gov/authorities/subjects/sh85090222																																		http://syriaca.org/keyword/fields-of-study		http://syriaca.org/keyword/genres																															
Nature		CBSC	nature	nature	http://id.loc.gov/authorities/subjects/sh85090277																															http://syriaca.org/keyword/ethics																																				
Neologisms		CBSC	neologisms	neologisms	http://id.loc.gov/authorities/subjects/sh85148117			new words	coinage of new words																																								http://syriaca.org/keyword/linguistics																							
Neoplatonism		CBSC	Neoplatonism	neoplatonism	http://id.loc.gov/authorities/subjects/sh85090807																																					http://syriaca.org/keyword/ideology	http://syriaca.org/keyword/institutions																													
Nergal		CBSC	Nergal	nergal	http://id.loc.gov/authorities/subjects/sh2010012876			Nergel	Nirgal	Nirgali																																														http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion										x	This should be an entry in SBD, not a subject heading		
Nestorians		CBSC	Nestorians	nestorians	http://id.loc.gov/authorities/subjects/sh2010013044			members of the Church of the East																							http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																										x	Do we want to perpetuate this terminology or should this simply be a variant under "The Church of the East"?		
New Testament		CBSC	New Testament	new-testament	http://id.loc.gov/authorities/subjects/sh96011928			Christian scriptures																							http://syriaca.org/keyword/christianity										http://syriaca.org/keyword/genres																												x	Should this be a subject or a literary tradition?		
Nicene Creed		CBSC	Nicaea	nicene-creed	http://id.loc.gov/authorities/names/n82069735 			Niceno-constantinopolitan creed	Nicene-constantinopolitan creed																						http://syriaca.org/keyword/christianity																																http://syriaca.org/keyword/speech-acts									
Ninevites		CBSC	Ninevites	ninevites																																	http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Nisan		CBSC	Nisan	nisan	http://id.loc.gov/authorities/subjects/sh96004904																																														http://syriaca.org/keyword/liturgy														http://syriaca.org/keyword/time							
Nobles		SPEAR	noble	nobles	http://id.loc.gov/authorities/subjects/sh85092138			noble class	nobility																																															http://syriaca.org/keyword/persons						http://syriaca.org/keyword/socioeconomic-status										
Nomads		CBSC	nomads	nomads	http://id.loc.gov/authorities/subjects/sh85092204			nomadic peoples	pastoral peoples	transhumant migrants	pastoral migrants																							http://syriaca.org/keyword/economics									http://syriaca.org/keyword/institutions												http://syriaca.org/keyword/occupations																	
Notaries		new		notaries	http://id.loc.gov/authorities/subjects/sh85092781			notary	witness	legal witness								signatores																																					http://syriaca.org/keyword/occupations																	
Novels		CBSC	novel	novels	http://id.loc.gov/authorities/subjects/sh85048050			fiction																																	http://syriaca.org/keyword/genres																															
NT apocrypha		CBSC	NT apocrypha	nt-apocrypha	http://id.loc.gov/authorities/subjects/sh85006007																										http://syriaca.org/keyword/christianity										http://syriaca.org/keyword/genres																												x	Should this be a subject or a literary tradition?		
Numerals		CBSC	numerals	numerals	http://id.loc.gov/authorities/subjects/sh85093229																																												http://syriaca.org/keyword/linguistics																			http://syriaca.org/keyword/writing				
Nuns		SPEAR		nuns	http://id.loc.gov/authorities/subjects/sh85093287			monastic	female monastic	sisters	virgins of the church																				http://syriaca.org/keyword/christianity																						http://syriaca.org/keyword/monasticism		http://syriaca.org/keyword/occupations	http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion													
Oaths		new		oaths	http://id.loc.gov/authorities/subjects/sh85093593																																																										http://syriaca.org/keyword/speech-acts									
Objects	category	category		objects																																																																				
Occupations	category	category		occupations	http://id.loc.gov/authorities/subjects/sh85093862			careers	jobs	trades																																																														
Oil		CBSC	oil	oil	http://id.loc.gov/authorities/subjects/sh85094407																																														http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects						http://syriaca.org/keyword/ritual												
Old age		CBSC	old age	old-age	http://id.loc.gov/authorities/subjects/sh85094506			later life	senescence																																																															
Old Syriac inscriptions		CBSC	Old Syriac inscriptions	old-syriac-inscriptions	http://id.loc.gov/authorities/subjects/sh98007366																																													http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Old Testament		CBSC	Old Testament	old-testament	http://id.loc.gov/authorities/subjects/sh96011927			Hebrew bible	Hebrew scriptures																																																												x	Should this be a subject or a literary tradition?		
Omens		SPEAR	omen	omens	http://id.loc.gov/authorities/subjects/sh85094687			portents	prodigies	signs																																																	http://syriaca.org/keyword/religion													
Onomastics		CBSC	onomastics	onomastics	http://id.loc.gov/authorities/subjects/sh85094813			onomatology																															http://syriaca.org/keyword/fields-of-study																																	
Ophites		CBSC	ophites	ophites	http://id.loc.gov/authorities/subjects/sh85095055																																																						http://syriaca.org/keyword/religion													
Oracles		CBSC	oracles	oracles	http://id.loc.gov/authorities/subjects/sh85095217																																																						http://syriaca.org/keyword/religion				http://syriaca.org/keyword/speech-acts									
Orality		CBSC	orality	orality	http://id.loc.gov/authorities/subjects/sh94001362																																												http://syriaca.org/keyword/linguistics																							
Ordination		CBSC	ordination	ordination	http://id.loc.gov/authorities/subjects/sh85095385																							http://syriaca.org/keyword/administration			http://syriaca.org/keyword/christianity																																									
Origenism		CBSC	Origenism	origenism																											http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Orthodoxy		CBSC	orthodoxy	orthodoxy																																						http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Orthography		CBSC	orthography	orthography	http://id.loc.gov/authorities/subjects/sh99005058			spelling																																									http://syriaca.org/keyword/linguistics																			http://syriaca.org/keyword/writing				
Ostraca		CBSC	ostraca	ostraca	http://id.loc.gov/authorities/subjects/sh85096005			ostraka	ostrakon	potsherds																																								http://syriaca.org/keyword/literature				http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Paidagogues		new		paidagogues				teacher	educator							παιδαγωγός		paidagogus																	http://syriaca.org/keyword/education																				http://syriaca.org/keyword/occupations																	
Painters		new		painters	http://id.loc.gov/authorities/subjects/sh85096653													pictor																																					http://syriaca.org/keyword/occupations																	
Paleography		CBSC	paleography	paleography	http://id.loc.gov/authorities/subjects/sh85097064			handwriting	manuscript hands																																								http://syriaca.org/keyword/linguistics																			http://syriaca.org/keyword/writing				
Palimpsests		CBSC	palimpsest	palimpsests	http://id.loc.gov/authorities/subjects/sh85080780			recycled manuscripts	reused manuscripts																																									http://syriaca.org/keyword/literature				http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Palm Sunday		CBSC	Palm Sunday	palm-sunday	http://id.loc.gov/authorities/subjects/sh85097230																										http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																						http://syriaca.org/keyword/ritual					http://syriaca.org/keyword/time							
Palmistry		CBSC	palmistry	palmistry	http://id.loc.gov/authorities/subjects/sh85097242			cheirognomy	cheiromancy	cheirosophy	palm reading																																																http://syriaca.org/keyword/religion					http://syriaca.org/keyword/techne								
Palmyrene language		CBSC	Palmyrene	palmyrene-language	http://id.loc.gov/authorities/subjects/sh85097253		ISO 15924: arc-palm																																								http://syriaca.org/keyword/language																									
Papyri		CBSC	papyri	papyri	http://id.loc.gov/authorities/subjects/sh85080781																																													http://syriaca.org/keyword/literature				http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Parables		CBSC	parables	parables	http://id.loc.gov/authorities/subjects/sh85097715																																				http://syriaca.org/keyword/genres									http://syriaca.org/keyword/literature																						
Paradise		CBSC	Paradise	paradise	http://id.loc.gov/authorities/subjects/sh85097749																																																				http://syriaca.org/keyword/places		http://syriaca.org/keyword/religion													
Parchments		CBSC	parchments	parchments	http://id.loc.gov/authorities/subjects/sh85097964			vellum																																														http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Paronomasia		CBSC	paronomasia	paronomasia																																													http://syriaca.org/keyword/linguistics	http://syriaca.org/keyword/literature																						
Parthians		SPEAR	Parthians	parthians	http://id.loc.gov/authorities/subjects/sh85098343			Persians																									http://syriaca.org/keyword/dynasties																																							
Passion		CBSC	Passion, Crucifixion	passion	http://id.loc.gov/authorities/subjects/sh85070073			crucifixion	suffering of Christ	death of Christ	sacrifice of Christ																Used for the suffering of Jesus Christ in the course of his redemptive work.				http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																																		
Passions		CBSC	passions	passions	http://id.loc.gov/authorities/subjects/sh85042818			feelings	emotions	temptations																	Used for the negative emotions and emotional states that hinder the Christian life, most commonly in the context of ascetic practice.									http://syriaca.org/keyword/ethics																http://syriaca.org/keyword/mental-states							http://syriaca.org/keyword/religion													
Passover		CBSC	Passover	passover	http://id.loc.gov/authorities/subjects/sh85098533			Pesach	Pesaḥ 	Peyseḥ 	Peysekh																											http://syriaca.org/keyword/events								http://syriaca.org/keyword/judaism														http://syriaca.org/keyword/ritual					http://syriaca.org/keyword/time							
Patriarchates		CBSC	patriarchate	patriarchates	http://id.loc.gov/authorities/subjects/sh85098724																							http://syriaca.org/keyword/administration			http://syriaca.org/keyword/christianity																																									
Patriarchs		CBSC	patriarchs	patriarchs	http://id.loc.gov/authorities/subjects/sh85098724																																									http://syriaca.org/keyword/judaism										http://syriaca.org/keyword/persons						http://syriaca.org/keyword/socioeconomic-status										
Patricians		SPEAR	patrician	patricians	http://id.loc.gov/authorities/subjects/sh85098730																																																									http://syriaca.org/keyword/socioeconomic-status										
Patristics		CBSC	patristics	patristics	http://id.loc.gov/authorities/subjects/sh85047462			church fathers	fathers of the church																														http://syriaca.org/keyword/fields-of-study																																	
Patronage		CBSC	patronage	patronage	http://id.loc.gov/authorities/subjects/sh85098771			clientism																				http://syriaca.org/keyword/administration						http://syriaca.org/keyword/economics									http://syriaca.org/keyword/institutions																			http://syriaca.org/keyword/socioeconomic-status										
Peace		CBSC	peace	peace	http://id.loc.gov/authorities/subjects/sh85098940																																																																			
Pearls		CBSC	pearl	pearls	http://id.loc.gov/authorities/subjects/sh85099037																													http://syriaca.org/keyword/economics																				http://syriaca.org/keyword/objects																		
Penal laborers		new		penal-laborers	http://id.loc.gov/authorities/subjects/sh85031750			prisoners	prison laborers	convict laborers																																													http://syriaca.org/keyword/occupations																	
Penitence		CBSC	penitence	penitence	http://id.loc.gov/authorities/subjects/sh85112909			contrition	repentance	penance 																					http://syriaca.org/keyword/christianity					http://syriaca.org/keyword/ethics																								http://syriaca.org/keyword/ritual												
Pentecost		CBSC	Pentecost	pentecost	http://id.loc.gov/authorities/subjects/sh85099628			Whitsunday																							http://syriaca.org/keyword/christianity																													http://syriaca.org/keyword/ritual					http://syriaca.org/keyword/time							
Pericopes		CBSC	pericope	pericopes																																														http://syriaca.org/keyword/literature																						
Persecution		CBSC	persecution	persecution	http://id.loc.gov/authorities/subjects/sh85100050																																	http://syriaca.org/keyword/events																																		
Persian language		CBSC	Persian language	persian-language	http://id.loc.gov/authorities/subjects/sh99013839		ISO 639-1: fa																																								http://syriaca.org/keyword/language																									
Persian martyrs		CBSC	Persian martyrs	persian-martyrs																											http://syriaca.org/keyword/christianity																									http://syriaca.org/keyword/persons																
Persians		SPEAR	Persians	persians																																	http://syriaca.org/keyword/ethnicity																																			
Persons	category	category		persons	http://id.loc.gov/authorities/subjects/sh85100163			people																																																																
Phantasiasm		CBSC	Phantasiasm	phantasiasm																											http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Philo-Judaism		CBSC	philo-Judaism	philo-judaism																											http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Philosophers		new		philosophers	http://id.loc.gov/authorities/subjects/sh85100836																																																		http://syriaca.org/keyword/occupations																	
Philosophy		CBSC	philosophy	philosophy	http://id.loc.gov/authorities/subjects/sh85100849																																		http://syriaca.org/keyword/fields-of-study																																	
Phoenix		CBSC	Phoenix	phoenix	http://id.loc.gov/authorities/subjects/sh86007433																																																			http://syriaca.org/keyword/persons																
Phonology		CBSC	phonology	phonology	http://id.loc.gov/authorities/subjects/sh85101065																																		http://syriaca.org/keyword/fields-of-study										http://syriaca.org/keyword/linguistics																							
Physicians		CBSC	physician	physicians	http://id.loc.gov/authorities/subjects/sh85101610			doctors	medical professionals	healers																																													http://syriaca.org/keyword/occupations																	
Physics		CBSC	physics	physics	http://id.loc.gov/authorities/subjects/sh85101653			natural philosophy																															http://syriaca.org/keyword/fields-of-study																																	
Physiognomy		CBSC	physiognomy	physiognomy	http://id.loc.gov/authorities/subjects/sh85101673																																		http://syriaca.org/keyword/fields-of-study																																	
Pilgrimage		CBSC	pilgrimage	pilgrimage	http://id.loc.gov/authorities/subjects/sh85102131			sojourner																														http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Places	category	category		places				place types																			A general category used for things pertaining to places and place types whether real or imagined.																																													
Plague		CBSC	plague	plague	http://id.loc.gov/authorities/subjects/sh85102591																																	http://syriaca.org/keyword/events																																		
Plants		CBSC	plants	plants	http://id.loc.gov/authorities/subjects/sh85102839			flora	vegetation																																													http://syriaca.org/keyword/objects																		
Plasterers		new		plasterers	http://id.loc.gov/authorities/subjects/sh85103113			stuccoers										tectores																																					http://syriaca.org/keyword/occupations																	
Poetics		CBSC	poetics	poetics	http://id.loc.gov/authorities/subjects/sh85103703			poetic technique	poetry technique																																								http://syriaca.org/keyword/linguistics																							
Poetry		CBSC	poetry	poetry	http://id.loc.gov/authorities/subjects/sh85103704			poems	verse																																http://syriaca.org/keyword/genres																															
Polemic		CBSC	polemic	polemic	http://id.loc.gov/authorities/subjects/sh85104172			argument	argumentation	apologetics																															http://syriaca.org/keyword/genres									http://syriaca.org/keyword/literature													http://syriaca.org/keyword/speech-acts									
Polemics		CBSC	polemics	polemics	http://id.loc.gov/authorities/subjects/sh85104172																																													http://syriaca.org/keyword/literature													http://syriaca.org/keyword/speech-acts									
Politics		CBSC	politics	politics	http://id.loc.gov/authorities/subjects/sh2002011436																							http://syriaca.org/keyword/administration																																												
Polyglot Bible		CBSC	Polyglot Bible	polyglot-bible	http://id.loc.gov/authorities/subjects/sh2014001944																										http://syriaca.org/keyword/christianity										http://syriaca.org/keyword/genres					http://syriaca.org/keyword/judaism								http://syriaca.org/keyword/objects																		
Poor		CBSC	poor	poor	http://id.loc.gov/authorities/subjects/sh85104834			poverty	impoverished people	pauperism																										http://syriaca.org/keyword/ethics																				http://syriaca.org/keyword/persons						http://syriaca.org/keyword/socioeconomic-status										
Popular religion		CBSC	popular religion	popular-religion																																																							http://syriaca.org/keyword/religion													
Population		CBSC	population	population	http://id.loc.gov/authorities/subjects/sh85104910																																																																			
Porters		new		porters	http://id.loc.gov/authorities/subjects/sh85145445			doorkeepers	door keepers	doormen																																													http://syriaca.org/keyword/occupations																	
Portuguese language		CBSC	Portugese	portuguese-language	http://id.loc.gov/authorities/subjects/sh85105344		ISO 639-1: pt																																								http://syriaca.org/keyword/language																									
Postcolonialism		CBSC	postcolonialism	postcolonialism	http://id.loc.gov/authorities/subjects/sh97007835			post-colonialism																															http://syriaca.org/keyword/fields-of-study																																	
Potters		new		potters	http://id.loc.gov/authorities/subjects/sh85105726			clay workers	ceramic artists	pot makers																																													http://syriaca.org/keyword/occupations																	
Pottery		CBSC	pottery	pottery	http://id.loc.gov/authorities/subjects/sh85105729			ceramic art	ceramics	crockery	earthenware																																											http://syriaca.org/keyword/objects																		
Poulterers		new		poulterers				farmers of fowl	raisers of fowl	farmers of poultry																																													http://syriaca.org/keyword/occupations																	
Poverty		CBSC	poverty	poverty	http://id.loc.gov/authorities/subjects/sh85105939			destitution																										http://syriaca.org/keyword/economics																												http://syriaca.org/keyword/socioeconomic-status										
Prayer		CBSC	prayer	prayer	http://id.loc.gov/authorities/subjects/sh85106113																																	http://syriaca.org/keyword/events			http://syriaca.org/keyword/genres																		http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual			http://syriaca.org/keyword/speech-acts									
Preface		CBSC	preface	preface	http://id.loc.gov/authorities/subjects/sh85106264																																													http://syriaca.org/keyword/literature																						
Priesthood		CBSC	priesthood	priesthood	http://id.loc.gov/authorities/subjects/sh85106634																																																						http://syriaca.org/keyword/religion													
Priests		CBSC	priest	priests	http://id.loc.gov/authorities/subjects/sh85106637																																																		http://syriaca.org/keyword/occupations				http://syriaca.org/keyword/religion													
Primaries	category	category		primaries	http://id.loc.gov/authorities/subjects/sh2002012010			primary sources																																																																
Primary sources [Arabic]		CBSC	primary sources [Arabic]	primary-sources-arabic	http://id.loc.gov/authorities/subjects/sh85006314			Arabic literature	literature in Arabic																																																	http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in Dutch translation		CBSC	primary sources [Arabic] - Dutch translation	primary-sources-arabic-in-dutch-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in English translation		CBSC	primary sources [Arabic] - English translation	primary-sources-arabic-in-english-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in French translation		CBSC	primary sources [Arabic] - French translation	primary-sources-arabic-in-french-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in German translation		CBSC	primary sources [Arabic] - German translation	primary-sources-arabic-in-german-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in Italian translation		CBSC	primary sources [Arabic] - Italian translation	primary-sources-arabic-in-italian-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in Latin translation		CBSC	primary sources [Arabic] - Latin translation	primary-sources-arabic-in-latin-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in Russian translation		CBSC	primary sources [Arabic] - Russian translation	primary-sources-arabic-in-russian-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in Spanish translation		CBSC	primary sources [Arabic] - Spanish translation	primary-sources-arabic-in-spanish-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with English translation		CBSC	primary sources [Arabic] + English translation	primary-sources-arabic-with-english-translation	http://id.loc.gov/authorities/subjects/sh2009115255																																																					http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with French translation		CBSC	primary sources [Arabic] + French translation	primary-sources-arabic-with-french-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with German translation		CBSC	primary sources [Arabic] + German translation	primary-sources-arabic-with-german-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with Italian translation		CBSC	primary sources [Arabic] + Italian translation	primary-sources-arabic-with-italian-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with Latin translation		CBSC	primary sources [Arabic] + Latin translation	primary-sources-arabic-with-latin-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with Russian translation		CBSC	primary sources [Arabic] + Russian translation	primary-sources-arabic-with-russian-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with Spanish translation		CBSC	primary sources [Arabic] + Spanish translation	primary-sources-arabic-with-spanish-translation																																																						http://syriaca.org/keyword/primaries														
Primary sources [Armenian]		CBSC	primary sources [Armenian]	primary-sources-armenian	http://id.loc.gov/authorities/subjects/sh85007291																																																					http://syriaca.org/keyword/primaries														
